id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41974,Englewood Cottage,183514,Ruth,,Ward 1,44.94404281031542,-123.00995966369125,Entire home/apt,80,1,151,2018-10-28,1.49,1,4
199568,Garden studio apt,974919,Sara,,Ward 1,44.95195862280974,-123.05627408891182,Entire home/apt,75,2,151,2018-12-31,1.67,2,0
226880,quiet room with a view,974919,Sara,,Ward 1,44.95203985883649,-123.05679145731905,Private room,35,1,78,2018-10-14,0.94,2,35
900778,Spacious Flat in Historic Home,4811368,Corrine,,Ward 1,44.94419768738417,-123.01116043912087,Entire home/apt,105,2,192,2019-01-31,2.64,1,220
1159564,SOLAR ECLIPSE - A,2185672,Roberta,,Ward 3,44.88415552756293,-123.04340915586322,Private room,175,2,2,2013-08-30,0.03,1,365
2894591,Quiet and cozy home in South Salem.,14613038,Sue,,Ward 7,44.90753897044507,-123.07688195270015,Private room,50,1,184,2018-12-29,3.25,1,273
4785215,Century House Doug Fir Room,10502090,Jean,,Ward 2,44.93447583406532,-123.02103307255888,Private room,85,1,69,2018-09-23,1.39,3,334
6853136,CAPITOL CITY RETREAT,7975048,Darlene,,Ward 4,44.85606042209379,-123.02038922085028,Private room,67,1,100,2018-11-23,2.27,2,365
6975705,CAPITOL CITY RETREAT 2,7975048,Darlene,,Ward 4,44.85588998132861,-123.02029741688833,Private room,54,1,43,2018-12-30,0.99,2,365
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.924836777138914,-123.04989900825075,Entire home/apt,95,1,228,2019-01-20,5.27,1,85
8255984,Downtown Salem Loft in Salem Oregon,43537767,Angela,,Ward 1,44.941321030724104,-123.04070855799358,Entire home/apt,220,2,49,2018-11-30,1.19,1,193
8524259,Single room in Comfort Home,2421461,Nancy,,Ward 7,44.891046972199874,-123.06843076896668,Private room,75,1,2,2018-06-13,0.11,2,352
